iterations;genome;fitness
13;8;0.5960317483438954
13;9;0.4311621620476006
13;10;0.5960317483438954
13;11;0.3645621772569714
13;12;0.5960317483438954
13;13;0.3206349102799527
13;14;0.5960317483438954
13;15;0.5960317483438954
13;16;0.5884559907681378
13;17;0.5960317483438954
13;18;0.5884559907681378
13;19;0.5960317483438954
13;20;0.5960317483438954
13;21;0.4311621620476006
13;22;0.5960317483438954
13;23;0.35698641968121375
13;24;0.5960317483438954
13;25;0.35057616327095736
14;1;0.25293343480382124
14;2;0.257695339565726
14;3;0.257695339565726
14;4;0.2631898450602315
14;5;0.2631898450602315
14;6;0.42207125295669146
14;7;0.5960317483438954
14;8;0.5960317483438954
14;9;0.5960317483438954
14;10;0.35057616327095736
14;11;0.5960317483438954
14;12;0.5960317483438954
14;13;0.35057616327095736
14;14;0.3206349102799527
14;15;0.5960317483438954
14;16;0.5884559907681378
14;17;0.5960317483438954
14;18;0.5960317483438954
14;19;0.4311621620476006
14;20;0.31422465386969634
14;21;0.5960317483438954
14;22;0.4311621620476006
14;23;0.5884559907681378
14;24;0.5960317483438954
14;25;0.5884559907681378
15;1;0.25293343480382124
15;2;0.257695339565726
15;3;0.257695339565726
15;4;0.2631898450602315
15;5;0.2631898450602315
15;6;0.5960317483438954
15;7;0.5960317483438954
15;8;0.42207125295669146
15;9;0.5884559907681378
15;10;0.35057616327095736
15;11;0.5884559907681378
15;12;0.5960317483438954
15;13;0.5960317483438954
15;14;0.42207125295669146
15;15;0.5960317483438954
15;16;0.5960317483438954
15;17;0.5884559907681378
15;18;0.5960317483438954
15;19;0.5884559907681378
15;20;0.5884559907681378
15;21;0.5960317483438954
15;22;0.3736530863478804
15;23;0.5960317483438954
15;24;0.42207125295669146
15;25;0.3989474563121246
16;1;0.25293343480382124
16;2;0.257695339565726
16;3;0.257695339565726
16;4;0.2631898450602315
16;5;0.2631898450602315
16;6;0.5960317483438954
16;7;0.5960317483438954
16;8;0.5884559907681378
16;9;0.5960317483438954
16;10;0.5820457343578813
16;11;0.5960317483438954
16;12;0.35698641968121375
16;13;0.5960317483438954
16;14;0.5960317483438954
16;15;0.42207125295669146
16;16;0.5960317483438954
16;17;0.29756407774400045
16;18;0.5960317483438954
16;19;0.34508165777645183
16;20;0.5960317483438954
16;21;0.5960317483438954
16;22;0.5960317483438954
16;23;0.5960317483438954
16;24;0.5960317483438954
16;25;0.5960317483438954
17;1;0.25293343480382124
17;2;0.257695339565726
17;3;0.257695339565726
17;4;0.2631898450602315
17;5;0.2631898450602315
17;6;0.5960317483438954
17;7;0.5960317483438954
17;8;0.42207125295669146
17;9;0.5884559907681378
17;10;0.5960317483438954
17;11;0.5960317483438954
17;12;0.35698641968121375
17;13;0.3206349102799527
17;14;0.5960317483438954
17;15;0.30873014837519086
17;16;0.5960317483438954
17;17;0.35057616327095736
17;18;0.5960317483438954
17;19;0.5960317483438954
17;20;0.5960317483438954
17;21;0.35698641968121375
17;22;0.5960317483438954
17;23;0.5960317483438954
17;24;0.5960317483438954
17;25;0.5884559907681378
18;1;0.25293343480382124
18;2;0.257695339565726
18;3;0.257695339565726
18;4;0.2631898450602315
18;5;0.2631898450602315
18;6;0.5960317483438954
18;7;0.42207125295669146
18;8;0.5960317483438954
18;9;0.5960317483438954
18;10;0.5960317483438954
18;11;0.5960317483438954
18;12;0.34508165777645183
18;13;0.5960317483438954
18;14;0.5960317483438954
18;15;0.5820457343578813
18;16;0.5960317483438954
18;17;0.5960317483438954
18;18;0.5960317483438954
18;19;0.30873014837519086
18;20;0.5960317483438954
18;21;0.35057616327095736
18;22;0.35057616327095736
18;23;0.5960317483438954
18;24;0.5960317483438954
18;25;0.5960317483438954
19;1;0.25293343480382124
19;2;0.257695339565726
19;3;0.257695339565726
19;4;0.2631898450602315
19;5;0.2631898450602315
19;6;0.39137169873636696
19;7;0.5960317483438954
19;8;0.5960317483438954
19;9;0.5960317483438954
19;10;0.5960317483438954
19;11;0.5820457343578813
19;12;0.5960317483438954
19;13;0.35057616327095736
19;14;0.5960317483438954
19;15;0.5960317483438954
19;16;0.35698641968121375
19;17;0.3989474563121246
19;18;0.35698641968121375
19;19;0.5960317483438954
19;20;0.5960317483438954
19;21;0.5960317483438954
19;22;0.4144954953809339
19;23;0.5960317483438954
19;24;0.42207125295669146
19;25;0.5960317483438954
20;1;0.25293343480382124
20;2;0.257695339565726
20;3;0.257695339565726
20;4;0.2631898450602315
20;5;0.2631898450602315
20;6;0.5960317483438954
20;7;0.5960317483438954
20;8;0.5960317483438954
20;9;0.5960317483438954
20;10;0.5960317483438954
20;11;0.5960317483438954
20;12;0.35698641968121375
20;13;0.5960317483438954
20;14;0.42207125295669146
20;15;0.5960317483438954
20;16;0.5960317483438954
20;17;0.5960317483438954
20;18;0.5960317483438954
20;19;0.5960317483438954
20;20;0.42207125295669146
20;21;0.5960317483438954
20;22;0.5960317483438954
20;23;0.31422465386969634
20;24;0.5960317483438954
20;25;0.35057616327095736
21;1;0.25293343480382124
21;2;0.257695339565726
21;3;0.257695339565726
21;4;0.2631898450602315
21;5;0.2631898450602315
21;6;0.5820457343578813
21;7;0.5960317483438954
21;8;0.5960317483438954
21;9;0.5884559907681378
21;10;0.5960317483438954
21;11;0.35057616327095736
21;12;0.35698641968121375
21;13;0.5960317483438954
21;14;0.31422465386969634
21;15;0.5960317483438954
21;16;0.5960317483438954
21;17;0.5960317483438954
21;18;0.39137169873636696
21;19;0.5960317483438954
21;20;0.31422465386969634
21;21;0.34508165777645183
21;22;0.5960317483438954
21;23;0.34508165777645183
21;24;0.5960317483438954
21;25;0.4311621620476006
22;1;0.25293343480382124
22;2;0.257695339565726
22;3;0.257695339565726
22;4;0.2631898450602315
22;5;0.2631898450602315
22;6;0.42207125295669146
22;7;0.5960317483438954
22;8;0.5960317483438954
22;9;0.5960317483438954
22;10;0.5960317483438954
22;11;0.5960317483438954
22;12;0.5884559907681378
22;13;0.5960317483438954
22;14;0.5884559907681378
22;15;0.5960317483438954
22;16;0.5960317483438954
22;17;0.5960317483438954
22;18;0.5960317483438954
22;19;0.5820457343578813
22;20;0.5960317483438954
22;21;0.5960317483438954
22;22;0.4311621620476006
22;23;0.5960317483438954
22;24;0.5960317483438954
22;25;0.5960317483438954
23;1;0.25293343480382124
23;2;0.257695339565726
23;3;0.257695339565726
23;4;0.2631898450602315
23;5;0.2631898450602315
23;6;0.35057616327095736
23;7;0.5960317483438954
23;8;0.35698641968121375
23;9;0.35057616327095736
23;10;0.5960317483438954
23;11;0.5960317483438954
23;12;0.5960317483438954
23;13;0.5960317483438954
23;14;0.5884559907681378
23;15;0.5960317483438954
23;16;0.35698641968121375
23;17;0.5960317483438954
23;18;0.5960317483438954
23;19;0.5960317483438954
23;20;0.35057616327095736
23;21;0.42207125295669146
23;22;0.5960317483438954
23;23;0.5960317483438954
23;24;0.5884559907681378
23;25;0.5960317483438954
24;1;0.25293343480382124
24;2;0.257695339565726
24;3;0.257695339565726
24;4;0.2631898450602315
24;5;0.2631898450602315
24;6;0.5960317483438954
24;7;0.31422465386969634
24;8;0.5960317483438954
24;9;0.31422465386969634
24;10;0.5960317483438954
24;11;0.5960317483438954
24;12;0.5960317483438954
24;13;0.5960317483438954
24;14;0.35698641968121375
24;15;0.5960317483438954
24;16;0.31422465386969634
24;17;0.5960317483438954
24;18;0.35057616327095736
24;19;0.5960317483438954
24;20;0.5960317483438954
24;21;0.35057616327095736
24;22;0.5960317483438954
24;23;0.5960317483438954
24;24;0.5960317483438954
24;25;0.5960317483438954
25;1;0.25293343480382124
25;2;0.257695339565726
25;3;0.257695339565726
25;4;0.2631898450602315
25;5;0.2631898450602315
25;6;0.31422465386969634
25;7;0.5884559907681378
25;8;0.5960317483438954
25;9;0.5960317483438954
25;10;0.5960317483438954
25;11;0.34508165777645183
25;12;0.35698641968121375
25;13;0.5960317483438954
25;14;0.5884559907681378
25;15;0.5960317483438954
25;16;0.5884559907681378
25;17;0.5960317483438954
25;18;0.34508165777645183
25;19;0.5960317483438954
25;20;0.5960317483438954
25;21;0.3645621772569714
25;22;0.31422465386969634
25;23;0.5960317483438954
25;24;0.4311621620476006
25;25;0.5884559907681378
26;1;0.25293343480382124
26;2;0.257695339565726
26;3;0.257695339565726
26;4;0.2631898450602315
26;5;0.2631898450602315
26;6;0.5884559907681378
26;7;0.5884559907681378
26;8;0.5960317483438954
26;9;0.5960317483438954
26;10;0.5960317483438954
26;11;0.5884559907681378
26;12;0.5960317483438954
26;13;0.5960317483438954
26;14;0.42207125295669146
26;15;0.5884559907681378
26;16;0.5960317483438954
26;17;0.5960317483438954
26;18;0.5960317483438954
26;19;0.5884559907681378
26;20;0.34508165777645183
26;21;0.5960317483438954
26;22;0.5960317483438954
26;23;0.5960317483438954
26;24;0.5960317483438954
26;25;0.42207125295669146
27;1;0.25293343480382124
27;2;0.257695339565726
27;3;0.257695339565726
27;4;0.2631898450602315
27;5;0.2631898450602315
27;6;0.5884559907681378
27;7;0.5960317483438954
27;8;0.5884559907681378
27;9;0.35057616327095736
27;10;0.5960317483438954
27;11;0.30397433415425684
27;12;0.5960317483438954
27;13;0.3206349102799527
27;14;0.5820457343578813
27;15;0.5960317483438954
27;16;0.5960317483438954
